discente,media_final,numero_total_faltas,descricao
b74693d943171df25b0a502b522d4165,5.5,0.0,NÃO PRESENTE
a36def5f899c2f94c3e40b6144be51d7,0.5,20.0,NÃO PRESENTE
a036073779ed35848a20788046f54bb5,5.0,0.0,NÃO PRESENTE
00d4dab41b0960fd67973cbe407130c8,6.1,0.0,NÃO PRESENTE
163e3a79d64656ae9744164dc019805c,5.0,0.0,REPROVADO
b48dcea9d78b0a6c8dd723d3f8317756,0.0,20.0,NÃO PRESENTE
85fe4d605097040a5e57a890f2ddf31d,3.3,0.0,NÃO PRESENTE
07b5ef0dd8225f1377adb5568bdd8906,0.3,20.0,NÃO PRESENTE
c63d949ee5f562ba2fce1cfbb8da419b,0.0,20.0,NÃO PRESENTE
465e5a92297b85f649edbec78084c723,1.0,15.0,NÃO PRESENTE
4fe88bee3257855047a3682450b8022c,5.6,0.0,NÃO PRESENTE
1a870fdbf4befb4d10a230b25dee4850,1.0,20.0,NÃO PRESENTE
8c0d61ee5920b58a9e92737e39d4e9dc,0.0,20.0,NÃO PRESENTE
0fe0985edd8c198bb736c451cac18a4b,0.0,20.0,NÃO PRESENTE
e59c0fa79e5bc829fe99a98a67ed32ce,0.0,20.0,NÃO PRESENTE
d1fac261b43d18803f92686a67ca0af0,0.0,20.0,NÃO PRESENTE
ea1551c2aeb5afcb5125d8af6d7d7c3d,0.0,20.0,NÃO PRESENTE
8fff3d94274f15867c5f5855fc06355d,0.0,20.0,NÃO PRESENTE
7e216c47897d82f20d37dab2712b3a15,1.9,0.0,NÃO PRESENTE
861ee585e6ca560284e194f6c19b47d0,0.0,20.0,NÃO PRESENTE
788ae3424ce1940cce98462c8ad19f6d,0.0,20.0,NÃO PRESENTE
82100399dc5a9419be7c903a67fe0f01,1.8,15.0,NÃO PRESENTE
b012dabd7833f9270c565a34cee00222,1.8,15.0,NÃO PRESENTE
6648adf670c078a5143dfe5ac40597cc,6.8,0.0,NÃO PRESENTE
0d320e5f455d996e12f9542bd26d4b3a,1.4,0.0,NÃO PRESENTE
f49dfb90dd9497cf743b7ac31b684a30,0.9,15.0,NÃO PRESENTE
4cea663c1e29204689c1ad67189af9b3,0.6,20.0,NÃO PRESENTE
