discente,media_final,numero_total_faltas,descricao
d9cd7bd5995fa504cfa14d63d0bd4e72,5.0,0.0,NÃO PRESENTE
fc00a008434cab36c948886cfa41dbe1,5.6,0.0,NÃO PRESENTE
48025581d9c74fab45b89e5e6e4679eb,0.8,0.0,NÃO PRESENTE
22b8fb344515ec87466220f8cddd5bfe,4.5,0.0,NÃO PRESENTE
112ebc0aa96309b562a1aec89b90533f,0.9,0.0,NÃO PRESENTE
47f9f08422697f9860725a256fc215ef,6.0,0.0,NÃO PRESENTE
7d57672aaedcbea747a8f44fa9c52e7d,5.0,0.0,NÃO PRESENTE
6a4f50349e4377b0cc1f3bb69b4a8cb7,6.9,0.0,REPROVADO
43549ca2a5958683e90cfbcf2d8e73d2,7.8,0.0,NÃO PRESENTE
159e0ca5d45210b109b652e37dbd1484,5.5,0.0,NÃO PRESENTE
5f95f0b0dbd53531cb32a72db0670219,5.0,0.0,NÃO PRESENTE
9c9804074d5380809f0bbdf64abd48c2,5.0,0.0,NÃO PRESENTE
146e2d262140eff9c7adcdb394956317,5.3,0.0,REPROVADO
bc5747f34e34ad0ec959ef9d6b7ba5db,6.2,0.0,NÃO PRESENTE
e1c3fc9ae1220b66ae685e3398be6350,5.7,0.0,NÃO PRESENTE
dc0ee978e7c49c9b6dc530a760e5903e,5.3,0.0,NÃO PRESENTE
e7c875d4e9a7d1f8da1fa8ca6dc144cf,3.1,0.0,NÃO PRESENTE
7414325e43267af238f1d7655b7e5a87,5.1,0.0,NÃO PRESENTE
55bc35259d6c970d69baca620ed1eadd,0.0,0.0,NÃO PRESENTE
041cfb0469ae3e118bc3f3730c0c03c6,7.0,0.0,APROVADO POR NOTA
678cd4ae0c4dee8efaf9844616ca63ed,0.0,0.0,NÃO PRESENTE
9f01ed6eff17e327c8056903dcf49073,0.0,0.0,NÃO PRESENTE
1237c8e201c1883b81aec79980bbb3c3,4.7,0.0,NÃO PRESENTE
a88cb12bf299c17f5db04e08ca0a42d4,3.6,0.0,NÃO PRESENTE
e17cc09f2b3d7b50887679da5a653e71,0.0,0.0,NÃO PRESENTE
99fe889f8ddfdb551da68c4a3349f14d,0.0,0.0,NÃO PRESENTE
8ffc79ec1f9477f7f188572045f5e606,0.0,0.0,NÃO PRESENTE
fe2bb99c1c2bf5c1595df0af2ec83468,0.5,0.0,NÃO PRESENTE
68a8f7ac73fe9ee26862d47575f5d54f,2.2,0.0,NÃO PRESENTE
1160ac6d0de054526f165c6acd410c86,0.0,0.0,NÃO PRESENTE
a418e259bf7e6025265d48c7549fa5c1,0.0,0.0,NÃO PRESENTE
1e4965fab79fabb6df08328a9b164879,5.9,0.0,NÃO PRESENTE
6a96026796ea71dbbc024e618baabe2a,2.0,0.0,NÃO PRESENTE
96095254ebce527b462c4c664e27dd43,2.3,0.0,NÃO PRESENTE
dbc5409c3f6a796008a4adeb7079567b,0.0,0.0,NÃO PRESENTE
f329c999b1176522c2283357d440c515,6.1,0.0,NÃO PRESENTE
075cbb342a0d6229d04d95304e2d34ac,0.0,0.0,NÃO PRESENTE
c8e7fd99ac44e292582836554a435845,0.0,0.0,NÃO PRESENTE
ff277a47e25108802d409de22bed579b,0.0,0.0,NÃO PRESENTE
cf454f3f027e53e62e075b4f459e415c,0.8,0.0,NÃO PRESENTE
b287c129c6845b8e6f897630e202f6de,5.0,0.0,NÃO PRESENTE
c279a92a23d0c7f2a5b29d1ca8e90856,0.3,0.0,NÃO PRESENTE
