discente,media_final,numero_total_faltas,descricao
94223684637f2137a37477929c47aa47,0.0,28.0,NÃO PRESENTE
d69c0c282caea1eec4e7c79f0bcdc697,2.2,2.0,NÃO PRESENTE
f99c83c08448b79eb3938dfbb2235fe5,0.0,32.0,NÃO PRESENTE
a734c676794e87f46eced69b68a87330,0.3,12.0,NÃO PRESENTE
1ac07c4943b2c1eae13950fc75aa4bc3,0.0,14.0,NÃO PRESENTE
39f93bc998decf7c451b8dae67e564d5,5.9,0.0,APROVADO POR NOTA
6baea6ba872012f7bd96dbd5c6099b2b,0.0,20.0,NÃO PRESENTE
21f315a5a3ca0a724be9437a8d67e732,0.0,43.0,NÃO PRESENTE
42010b3d6b7dcc02640efafd551b73f0,0.3,0.0,NÃO PRESENTE
6ceb5d2cb82109503a7186de4cddd6c5,6.7,0.0,APROVADO POR NOTA
774b702903ae9af5122d54ca9e1a43cc,7.0,0.0,APROVADO POR NOTA
3fc97b700310e49c4ea4dfa33597b2b6,1.1,0.0,NÃO PRESENTE
9e11ca1384cff795ec1af0b46f1d40df,5.0,0.0,NÃO PRESENTE
71d3a58ec8c9df656ed01ccaeb7fb0d7,5.3,0.0,REPROVADO
e513c185e788dec85722a68362bf2fbf,5.0,0.0,REPROVADO
2ad0a9190fa7c9bd7ec1092d6001e09f,5.0,0.0,NÃO PRESENTE
cea448a2fffceba8f954762587ae194a,5.6,0.0,APROVADO POR NOTA
86717eee2b18c652d3739ad92d4bc683,6.0,0.0,APROVADO
568a42b218a442de21c2c1bea5d66a97,5.4,0.0,REPROVADO
45d593646123e7802e8cc75c1ad892d6,8.3,0.0,REPROVADO
56cb3a9d7199a24f4437010980e8b091,5.4,0.0,NÃO PRESENTE
4390469b42288b640f3baa6405d452f5,6.2,0.0,NÃO PRESENTE
462b0f977a0510d690c38e2ea5e4001d,5.9,0.0,APROVADO POR NOTA
90be10a20bac47fe3325cd7c563ab1e8,5.4,0.0,APROVADO POR NOTA
a433f9a93bfbe86aec10c23438992153,5.0,0.0,NÃO PRESENTE
27750ef8e05eb6c90e6e28bbc661f087,8.7,0.0,APROVADO
38c4f044600a2169fbc79cfd0e789f5d,0.2,0.0,NÃO PRESENTE
56dc402f510dbab2fe60c2bfd2e79ae8,5.3,0.0,NÃO PRESENTE
de27b5595c213767b631d47f9dc0ee0f,5.5,0.0,APROVADO POR NOTA
3f20b347b26ac5527f61432f9779ad67,7.9,0.0,APROVADO
e525d602d83f80cba22a12abb96e15e5,5.0,0.0,NÃO PRESENTE
e55361c8cf736dccf4908b9074c18987,6.2,0.0,NÃO PRESENTE
9e7a7a6e9ef5cbcd54c10a3f4fbfcc67,0.0,0.0,NÃO PRESENTE
