descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,9255887b260138b79db663f7d1fa1d1b,10320810.0,57595223,6.8,2.0,f,CÁLCULO III,20171
REPROVADO,8c30c4b9e0af918e4f53a2d9a42c4c79,10320810.0,57595223,3.8,2.0,f,CÁLCULO III,20171
REPROVADO,8c30c4b9e0af918e4f53a2d9a42c4c79,10320810.0,57595223,3.8,2.0,t,CÁLCULO III,20171
APROVADO POR NOTA,0422029b820d1ab2bf490dfc9f9eb896,10320810.0,57595223,6.0,2.0,f,CÁLCULO III,20171
APROVADO,c2e2aced1a74547e85925e8ade92cbdb,10320810.0,57595223,8.2,0.0,f,CÁLCULO III,20171
APROVADO POR NOTA,c814ae793ef1b2407db108c478619667,10320810.0,57595223,5.0,2.0,f,CÁLCULO III,20171
APROVADO POR NOTA,c814ae793ef1b2407db108c478619667,10320810.0,57595223,5.0,2.0,t,CÁLCULO III,20171
APROVADO,30940b6a3c21e890adfb1a6d5e55a134,10320810.0,57595223,7.3,0.0,f,CÁLCULO III,20171
APROVADO POR NOTA,7c016235c30bef04f7562adc3417bfc9,10320810.0,57595223,5.7,2.0,f,CÁLCULO III,20171
APROVADO POR NOTA,65d6e145a8170aac287f7d3a3971a267,10320810.0,57595223,5.7,2.0,f,CÁLCULO III,20171
APROVADO POR NOTA,65d6e145a8170aac287f7d3a3971a267,10320810.0,57595223,5.7,2.0,t,CÁLCULO III,20171
APROVADO POR NOTA,8044b4b8f1c4b5bf292b671594b54778,10320810.0,57595223,5.0,2.0,t,CÁLCULO III,20171
APROVADO POR NOTA,8044b4b8f1c4b5bf292b671594b54778,10320810.0,57595223,5.0,2.0,f,CÁLCULO III,20171
REPROVADO,568a42b218a442de21c2c1bea5d66a97,10320810.0,57595223,0.5,0.0,f,CÁLCULO III,20171
REPROVADO,c0743c9193b93827289f5331858d29ef,10320810.0,57595223,2.5,0.0,f,CÁLCULO III,20171
REPROVADO,f4b92d5af7f72cb9aaaf2e3ea2a1c4e5,10320810.0,57595223,0.0,2.0,f,CÁLCULO III,20171
REPROVADO,d9624be1b77e9253a2c3ff826812cb7a,10320810.0,57595223,0.0,0.0,f,CÁLCULO III,20171
REPROVADO,8ef196676a430fd41f847495384496d8,10320810.0,57595223,0.2,0.0,f,CÁLCULO III,20171
REPROVADO,1c1636c7cd7d2a1a85bf7ca0fefbba34,10320810.0,57595223,2.2,0.0,f,CÁLCULO III,20171
REPROVADO,0961a609f1b6b9dbf6733c664fb06a40,10320810.0,57595223,4.7,2.0,t,CÁLCULO III,20171
REPROVADO,0961a609f1b6b9dbf6733c664fb06a40,10320810.0,57595223,4.7,2.0,f,CÁLCULO III,20171
APROVADO POR NOTA,6efe7b8bab002c90106ecb559a3b4604,10320810.0,57595223,6.3,2.0,f,CÁLCULO III,20171
