descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,f0da8cabd20b23182bf870567fa07b95,10320810.0,57605868,5.2,12.0,f,CÁLCULO III,20172
APROVADO POR NOTA,f0da8cabd20b23182bf870567fa07b95,10320810.0,57605868,5.2,12.0,t,CÁLCULO III,20172
REPROVADO,152e6b36254c3d00c7b7c9cbae6388a2,10320810.0,57605868,2.0,4.0,f,CÁLCULO III,20172
REPROVADO,bc22ae3969f4cac1064e5d907667cee9,10320810.0,57605868,2.7,0.0,f,CÁLCULO III,20172
APROVADO POR NOTA,ff1e29f8ec9277e81fba89eee4260118,10320810.0,57605868,5.0,8.0,f,CÁLCULO III,20172
APROVADO POR NOTA,7e98cbcb320ed454cd1784fae014df8d,10320810.0,57605868,5.2,2.0,f,CÁLCULO III,20172
REPROVADO,8dc7c4008f1f15a9003a6219c73f7fdf,10320810.0,57605868,4.0,10.0,f,CÁLCULO III,20172
REPROVADO,8dc7c4008f1f15a9003a6219c73f7fdf,10320810.0,57605868,4.0,10.0,t,CÁLCULO III,20172
REPROVADO,2ad0a9190fa7c9bd7ec1092d6001e09f,10320810.0,57605868,4.5,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,83c03e6206529e9bed028a2da4e551f7,10320810.0,57605868,6.7,0.0,f,CÁLCULO III,20172
REPROVADO,dde84c7dc61a71f5dc6e55aade7e1ba7,10320810.0,57605868,1.7,4.0,f,CÁLCULO III,20172
APROVADO,8b70c03b15b42df2776a37e558bd34a5,10320810.0,57605868,7.3,0.0,f,CÁLCULO III,20172
APROVADO POR NOTA,2a6510b2473c9601508499651249a666,10320810.0,57605868,6.2,2.0,f,CÁLCULO III,20172
REPROVADO,e13b73283d82c791f427401098d4b13b,10320810.0,57605868,3.5,10.0,f,CÁLCULO III,20172
APROVADO,b5ecd0a374bd24584fa6bfea136da914,10320810.0,57605868,7.2,4.0,f,CÁLCULO III,20172
REPROVADO,a072cd6ad720ce86c1cff40b81fa3b1f,10320810.0,57605868,2.2,6.0,f,CÁLCULO III,20172
REPROVADO,9772c149bd73a06d3491a55ca49855bc,10320810.0,57605868,2.7,4.0,f,CÁLCULO III,20172
APROVADO,aa587a5f1ecc97bc21b89eea158bcb47,10320810.0,57605868,8.0,0.0,f,CÁLCULO III,20172
REPROVADO,d8dcaa0c9b94cb4546194db5680e3df3,10320810.0,57605868,3.5,12.0,f,CÁLCULO III,20172
APROVADO POR NOTA,ec1f9f3c6d748b847c42cecc59acb6c2,10320810.0,57605868,5.3,6.0,t,CÁLCULO III,20172
APROVADO POR NOTA,ec1f9f3c6d748b847c42cecc59acb6c2,10320810.0,57605868,5.3,6.0,f,CÁLCULO III,20172
APROVADO,0961a609f1b6b9dbf6733c664fb06a40,10320810.0,57605868,7.3,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,fca4dc611d29cfa77a084c317627d674,10320810.0,57605868,6.5,0.0,f,CÁLCULO III,20172
REPROVADO,f9fb75c8cae03ea5a109ce60ba505059,10320810.0,57605868,0.7,12.0,f,CÁLCULO III,20172
APROVADO,83205f6bff14af278d539ee91998fd64,10320810.0,57605868,7.7,4.0,f,CÁLCULO III,20172
REPROVADO,8c30c4b9e0af918e4f53a2d9a42c4c79,10320810.0,57605868,3.8,6.0,f,CÁLCULO III,20172
REPROVADO,4390469b42288b640f3baa6405d452f5,10320810.0,57605868,2.8,2.0,f,CÁLCULO III,20172
REPROVADO,53916a9b9481f4ace7b1f3f957db6de3,10320810.0,57605868,1.8,4.0,f,CÁLCULO III,20172
REPROVADO,53707f761a385c250ea6722670f95aad,10320810.0,57605868,4.7,4.0,t,CÁLCULO III,20172
REPROVADO,53707f761a385c250ea6722670f95aad,10320810.0,57605868,4.7,4.0,f,CÁLCULO III,20172
APROVADO,ba2906913cfa86e6b14e37d9633deaa0,10320810.0,57605868,10.0,2.0,f,CÁLCULO III,20172
REPROVADO,dca1edb02bd9752619ddedc2667324af,10320810.0,57605868,2.8,4.0,f,CÁLCULO III,20172
REPROVADO,3b65dcb5b1a26aacaa4a6895fd03b8cd,10320810.0,57605868,4.5,16.0,f,CÁLCULO III,20172
REPROVADO,3b65dcb5b1a26aacaa4a6895fd03b8cd,10320810.0,57605868,4.5,16.0,t,CÁLCULO III,20172
APROVADO POR NOTA,fe8fa6a1655491522dd2d70059a91a6a,10320810.0,57605868,5.3,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,3399dbe687baf46f450d63a64a340526,10320810.0,57605868,5.0,0.0,f,CÁLCULO III,20172
REPROVADO,23548323de9382a8855974e0e4aa8f2b,10320810.0,57605868,0.2,14.0,f,CÁLCULO III,20172
REPROVADO,7144f624427c1a6305122ef9aab029da,10320810.0,57605868,2.7,6.0,f,CÁLCULO III,20172
REPROVADO,04b623c8d3ed17ee130a524d28702921,10320810.0,57605868,3.8,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,9017c92029e2fdd9dfcb0c08ba85eb45,10320810.0,57605868,5.7,8.0,f,CÁLCULO III,20172
APROVADO POR NOTA,876e18ece8bb676ac30f8ec3c20a5c95,10320810.0,57605868,5.0,0.0,f,CÁLCULO III,20172
APROVADO POR NOTA,a495ef91d6617db426c3a0c3cfe69ffa,10320810.0,57605868,5.0,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,a495ef91d6617db426c3a0c3cfe69ffa,10320810.0,57605868,5.0,2.0,t,CÁLCULO III,20172
REPROVADO,95f0434a0cbc5a96fc54630c4a725596,10320810.0,57605868,3.7,4.0,t,CÁLCULO III,20172
REPROVADO,95f0434a0cbc5a96fc54630c4a725596,10320810.0,57605868,3.7,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,26fdb6c523e7d0c7acd8940f8d1fc3b9,10320810.0,57605868,5.7,14.0,f,CÁLCULO III,20172
APROVADO POR NOTA,bf540dbc8bfddb4727c1d6febcc941d6,10320810.0,57605868,6.5,0.0,f,CÁLCULO III,20172
APROVADO POR NOTA,901d1e592f70fcba66eee3497acb94e1,10320810.0,57605868,6.0,4.0,f,CÁLCULO III,20172
APROVADO,92cfe611984822714f1448ed6f1752fb,10320810.0,57605868,7.0,6.0,f,CÁLCULO III,20172
REPROVADO,49b8f72766848e3d24662d52cc2caec8,10320810.0,57605868,3.2,4.0,f,CÁLCULO III,20172
REPROVADO,b63ce78931f321f95f17559a530a34cb,10320810.0,57605868,0.3,12.0,f,CÁLCULO III,20172
APROVADO POR NOTA,9eeb9b9362fb6154517eb43304558a6b,10320810.0,57605868,5.0,10.0,f,CÁLCULO III,20172
APROVADO POR NOTA,9eeb9b9362fb6154517eb43304558a6b,10320810.0,57605868,5.0,10.0,t,CÁLCULO III,20172
REPROVADO POR MÉDIA E POR FALTAS,099e4048ee7786b4ff4698137ec85827,10320810.0,57605868,0.7,30.0,f,CÁLCULO III,20172
REPROVADO,f4d22eca27f92ce6eff8afae6ce24e6a,10320810.0,57605868,2.0,8.0,f,CÁLCULO III,20172
REPROVADO,a9f2569e744480338c21b275cbad8c5c,10320810.0,57605868,0.7,20.0,f,CÁLCULO III,20172
APROVADO POR NOTA,53cd24b4658155cebafac164df566af1,10320810.0,57605868,6.0,8.0,f,CÁLCULO III,20172
REPROVADO,9e11ca1384cff795ec1af0b46f1d40df,10320810.0,57605868,0.8,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,e4b140f19d416a3086aed523f45e91bf,10320810.0,57605868,5.0,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,e4b140f19d416a3086aed523f45e91bf,10320810.0,57605868,5.0,4.0,t,CÁLCULO III,20172
REPROVADO,1a0c47246e4ef558d4671612b9c262fc,10320810.0,57605868,2.2,14.0,f,CÁLCULO III,20172
REPROVADO,68e9f1efcf62450334452b191596db9d,10320810.0,57605868,4.3,16.0,f,CÁLCULO III,20172
APROVADO POR NOTA,9bbc585ceb9a20bd8adeb1931539a210,10320810.0,57605868,6.7,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,4daec9fa8765ae2422caac52a513c41e,10320810.0,57605868,5.7,2.0,t,CÁLCULO III,20172
APROVADO POR NOTA,4daec9fa8765ae2422caac52a513c41e,10320810.0,57605868,5.7,2.0,f,CÁLCULO III,20172
APROVADO,91741682932daf9a9930d59ad6e8b7ff,10320810.0,57605868,8.7,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,b2c57b923ccf1ddacdb6a1a52ed3a5b2,10320810.0,57605868,5.2,12.0,f,CÁLCULO III,20172
APROVADO POR NOTA,90c71e3ee87056d76d15fac32ee35514,10320810.0,57605868,6.2,2.0,f,CÁLCULO III,20172
APROVADO POR NOTA,87812d9a2a6b8d0fb906f70cbe0895ee,10320810.0,57605868,5.2,2.0,f,CÁLCULO III,20172
CANCELADO,e5ab7ac0f4bfa05dd9000983eb5a3b46,10320810.0,57605868,1.2,4.0,f,CÁLCULO III,20172
CANCELADO,769a6c644df9ac5f88ead3adb21ed9a1,10320810.0,57605868,1.0,4.0,f,CÁLCULO III,20172
CANCELADO,443f83d4dde6c993476c97ecf351a3b0,10320810.0,57605868,2.7,10.0,f,CÁLCULO III,20172
REPROVADO,e4182483951ce8127a397ba52e41db8f,10320810.0,57605868,4.2,4.0,t,CÁLCULO III,20172
REPROVADO,e4182483951ce8127a397ba52e41db8f,10320810.0,57605868,4.2,4.0,f,CÁLCULO III,20172
APROVADO POR NOTA,65f2670f5101a1b12fbea7981df04ea9,10320810.0,57605868,5.7,4.0,f,CÁLCULO III,20172
REPROVADO,f720fac0d7e571a583eb3c06b63c3bdd,10320810.0,57605868,0.2,14.0,f,CÁLCULO III,20172
