descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,d9cd7bd5995fa504cfa14d63d0bd4e72,10320810.0,57586162,5.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,d9cd7bd5995fa504cfa14d63d0bd4e72,10320810.0,57586162,5.0,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,fc00a008434cab36c948886cfa41dbe1,10320810.0,57586162,5.6,0.0,f,CÁLCULO I,20162
REPROVADO,48025581d9c74fab45b89e5e6e4679eb,10320810.0,57586162,0.8,0.0,f,CÁLCULO I,20162
REPROVADO,22b8fb344515ec87466220f8cddd5bfe,10320810.0,57586162,4.5,0.0,f,CÁLCULO I,20162
REPROVADO,112ebc0aa96309b562a1aec89b90533f,10320810.0,57586162,0.9,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,47f9f08422697f9860725a256fc215ef,10320810.0,57586162,6.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,7d57672aaedcbea747a8f44fa9c52e7d,10320810.0,57586162,5.0,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,7d57672aaedcbea747a8f44fa9c52e7d,10320810.0,57586162,5.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,6a4f50349e4377b0cc1f3bb69b4a8cb7,10320810.0,57586162,6.9,0.0,f,CÁLCULO I,20162
APROVADO,43549ca2a5958683e90cfbcf2d8e73d2,10320810.0,57586162,7.8,0.0,f,CÁLCULO I,20162
APROVADO,43549ca2a5958683e90cfbcf2d8e73d2,10320810.0,57586162,7.8,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,159e0ca5d45210b109b652e37dbd1484,10320810.0,57586162,5.5,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,5f95f0b0dbd53531cb32a72db0670219,10320810.0,57586162,5.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,5f95f0b0dbd53531cb32a72db0670219,10320810.0,57586162,5.0,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,9c9804074d5380809f0bbdf64abd48c2,10320810.0,57586162,5.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,146e2d262140eff9c7adcdb394956317,10320810.0,57586162,5.3,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,146e2d262140eff9c7adcdb394956317,10320810.0,57586162,5.3,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,bc5747f34e34ad0ec959ef9d6b7ba5db,10320810.0,57586162,6.2,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,e1c3fc9ae1220b66ae685e3398be6350,10320810.0,57586162,5.7,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,dc0ee978e7c49c9b6dc530a760e5903e,10320810.0,57586162,5.3,0.0,f,CÁLCULO I,20162
REPROVADO,e7c875d4e9a7d1f8da1fa8ca6dc144cf,10320810.0,57586162,3.1,0.0,f,CÁLCULO I,20162
REPROVADO,e7c875d4e9a7d1f8da1fa8ca6dc144cf,10320810.0,57586162,3.1,0.0,t,CÁLCULO I,20162
APROVADO POR NOTA,7414325e43267af238f1d7655b7e5a87,10320810.0,57586162,5.1,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,7414325e43267af238f1d7655b7e5a87,10320810.0,57586162,5.1,0.0,t,CÁLCULO I,20162
REPROVADO,55bc35259d6c970d69baca620ed1eadd,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
APROVADO,041cfb0469ae3e118bc3f3730c0c03c6,10320810.0,57586162,7.0,0.0,f,CÁLCULO I,20162
APROVADO,041cfb0469ae3e118bc3f3730c0c03c6,10320810.0,57586162,7.0,0.0,t,CÁLCULO I,20162
REPROVADO,678cd4ae0c4dee8efaf9844616ca63ed,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,9f01ed6eff17e327c8056903dcf49073,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,1237c8e201c1883b81aec79980bbb3c3,10320810.0,57586162,4.7,0.0,f,CÁLCULO I,20162
REPROVADO,a88cb12bf299c17f5db04e08ca0a42d4,10320810.0,57586162,3.6,0.0,t,CÁLCULO I,20162
REPROVADO,a88cb12bf299c17f5db04e08ca0a42d4,10320810.0,57586162,3.6,0.0,f,CÁLCULO I,20162
REPROVADO,e17cc09f2b3d7b50887679da5a653e71,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,99fe889f8ddfdb551da68c4a3349f14d,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
CANCELADO,8ffc79ec1f9477f7f188572045f5e606,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,fe2bb99c1c2bf5c1595df0af2ec83468,10320810.0,57586162,0.5,0.0,f,CÁLCULO I,20162
REPROVADO,68a8f7ac73fe9ee26862d47575f5d54f,10320810.0,57586162,2.2,0.0,f,CÁLCULO I,20162
REPROVADO,1160ac6d0de054526f165c6acd410c86,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,a418e259bf7e6025265d48c7549fa5c1,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,1e4965fab79fabb6df08328a9b164879,10320810.0,57586162,5.9,0.0,f,CÁLCULO I,20162
REPROVADO,6a96026796ea71dbbc024e618baabe2a,10320810.0,57586162,2.0,0.0,f,CÁLCULO I,20162
REPROVADO,96095254ebce527b462c4c664e27dd43,10320810.0,57586162,2.3,0.0,f,CÁLCULO I,20162
REPROVADO,dbc5409c3f6a796008a4adeb7079567b,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
APROVADO POR NOTA,f329c999b1176522c2283357d440c515,10320810.0,57586162,6.1,0.0,f,CÁLCULO I,20162
REPROVADO,075cbb342a0d6229d04d95304e2d34ac,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
REPROVADO,c8e7fd99ac44e292582836554a435845,10320810.0,57586162,0.0,0.0,f,CÁLCULO I,20162
