descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,b74693d943171df25b0a502b522d4165,10320810.0,57576612,5.5,0.0,f,CÁLCULO I,20161
REPROVADO,a36def5f899c2f94c3e40b6144be51d7,10320810.0,57576612,0.5,20.0,f,CÁLCULO I,20161
APROVADO POR NOTA,a036073779ed35848a20788046f54bb5,10320810.0,57576612,5.0,0.0,f,CÁLCULO I,20161
APROVADO POR NOTA,00d4dab41b0960fd67973cbe407130c8,10320810.0,57576612,6.1,0.0,f,CÁLCULO I,20161
APROVADO POR NOTA,163e3a79d64656ae9744164dc019805c,10320810.0,57576612,5.0,0.0,f,CÁLCULO I,20161
CANCELADO,b48dcea9d78b0a6c8dd723d3f8317756,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,85fe4d605097040a5e57a890f2ddf31d,10320810.0,57576612,3.3,0.0,f,CÁLCULO I,20161
REPROVADO,07b5ef0dd8225f1377adb5568bdd8906,10320810.0,57576612,0.3,20.0,f,CÁLCULO I,20161
CANCELADO,c63d949ee5f562ba2fce1cfbb8da419b,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,465e5a92297b85f649edbec78084c723,10320810.0,57576612,1.0,15.0,f,CÁLCULO I,20161
APROVADO POR NOTA,4fe88bee3257855047a3682450b8022c,10320810.0,57576612,5.6,0.0,f,CÁLCULO I,20161
REPROVADO,1a870fdbf4befb4d10a230b25dee4850,10320810.0,57576612,1.0,20.0,f,CÁLCULO I,20161
REPROVADO,8c0d61ee5920b58a9e92737e39d4e9dc,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,0fe0985edd8c198bb736c451cac18a4b,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,e59c0fa79e5bc829fe99a98a67ed32ce,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,d1fac261b43d18803f92686a67ca0af0,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
CANCELADO,ea1551c2aeb5afcb5125d8af6d7d7c3d,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,8fff3d94274f15867c5f5855fc06355d,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,7e216c47897d82f20d37dab2712b3a15,10320810.0,57576612,1.9,0.0,f,CÁLCULO I,20161
REPROVADO,861ee585e6ca560284e194f6c19b47d0,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
CANCELADO,788ae3424ce1940cce98462c8ad19f6d,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,82100399dc5a9419be7c903a67fe0f01,10320810.0,57576612,1.8,15.0,f,CÁLCULO I,20161
REPROVADO,b012dabd7833f9270c565a34cee00222,10320810.0,57576612,1.8,15.0,f,CÁLCULO I,20161
APROVADO POR NOTA,6648adf670c078a5143dfe5ac40597cc,10320810.0,57576612,6.8,0.0,f,CÁLCULO I,20161
REPROVADO,0d320e5f455d996e12f9542bd26d4b3a,10320810.0,57576612,1.4,0.0,f,CÁLCULO I,20161
REPROVADO,f49dfb90dd9497cf743b7ac31b684a30,10320810.0,57576612,0.9,15.0,f,CÁLCULO I,20161
REPROVADO,4cea663c1e29204689c1ad67189af9b3,10320810.0,57576612,0.6,20.0,f,CÁLCULO I,20161
REPROVADO,168406b537e265e20bb2019abd2a3fe3,10320810.0,57576612,4.6,0.0,t,CÁLCULO I,20161
REPROVADO,168406b537e265e20bb2019abd2a3fe3,10320810.0,57576612,4.6,0.0,f,CÁLCULO I,20161
REPROVADO,d9cd7bd5995fa504cfa14d63d0bd4e72,10320810.0,57576612,0.9,15.0,f,CÁLCULO I,20161
REPROVADO,cc69cda8829d92715cbc2148e99ee44e,10320810.0,57576612,0.7,20.0,f,CÁLCULO I,20161
APROVADO POR NOTA,60ec4e83f10342986d49574a0a88f7b7,10320810.0,57576612,6.3,0.0,f,CÁLCULO I,20161
REPROVADO,0376f7de3dc77e615a2faaad02b13431,10320810.0,57576612,1.8,15.0,f,CÁLCULO I,20161
REPROVADO,8967e6e64372734a86eab4900c474611,10320810.0,57576612,0.0,22.0,f,CÁLCULO I,20161
REPROVADO,99f109607f83405e22ef242f7bc559ab,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,86f9f0a3bb404c7499ea9e58128bf75b,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,be39383f7a9bbf327d75c08626395077,10320810.0,57576612,3.3,0.0,f,CÁLCULO I,20161
REPROVADO,2c065466bfd055d0a619b3be4d14abf6,10320810.0,57576612,0.3,20.0,f,CÁLCULO I,20161
REPROVADO,fed232855bd36da8686d2771a6b73ab7,10320810.0,57576612,0.3,20.0,f,CÁLCULO I,20161
REPROVADO,d89b979033c96fcf46113dc37f30c947,10320810.0,57576612,1.6,15.0,f,CÁLCULO I,20161
REPROVADO,bf1b0128073eeb0a9e64bacf7f5c5c81,10320810.0,57576612,2.2,0.0,f,CÁLCULO I,20161
REPROVADO,a0ffdd34085e30197bff88dc1673686f,10320810.0,57576612,0.0,20.0,f,CÁLCULO I,20161
REPROVADO,263aeb91eafa4738f4cccaf8e17b6e3b,10320810.0,57576612,4.2,0.0,f,CÁLCULO I,20161
