descricao,discente,id_curso,id_turma,media_final,numero_total_faltas,reposicao,nome,periodoano
APROVADO POR NOTA,eadb1efd8a440abf13f95f98de3dbfb6,10320810.0,57577912,5.6,6.0,f,CÁLCULO III,20161
REPROVADO POR MÉDIA E POR FALTAS,ac0b4ff00490df7c8608d5a08820daa2,10320810.0,57577912,0.0,24.0,f,CÁLCULO III,20161
APROVADO POR NOTA,578f6ffb87ad643154febabe35ff339e,10320810.0,57577912,6.7,0.0,f,CÁLCULO III,20161
APROVADO,efb280e9480e84fcbb0518695b61cb80,10320810.0,57577912,8.0,2.0,f,CÁLCULO III,20161
APROVADO POR NOTA,efa2d0f5a7b1b543a8d654919ce9fe43,10320810.0,57577912,6.0,6.0,f,CÁLCULO III,20161
APROVADO POR NOTA,ef0f609706ecbbd2267dc951781bba36,10320810.0,57577912,5.4,10.0,t,CÁLCULO III,20161
APROVADO POR NOTA,ef0f609706ecbbd2267dc951781bba36,10320810.0,57577912,5.4,10.0,f,CÁLCULO III,20161
APROVADO POR NOTA,9906468665c15d628ada68abfb625a6a,10320810.0,57577912,5.4,6.0,f,CÁLCULO III,20161
APROVADO POR NOTA,bfafde0f64109acec5d556d93ae5ed2c,10320810.0,57577912,6.4,12.0,f,CÁLCULO III,20161
APROVADO,78659db24ed7bb17444bd3599cc5b8a6,10320810.0,57577912,7.8,6.0,f,CÁLCULO III,20161
APROVADO,91d42a40de6dda1a613af6df6554c418,10320810.0,57577912,7.8,4.0,f,CÁLCULO III,20161
APROVADO,6efbf8793dc5ed74b9de5d959ce91597,10320810.0,57577912,9.9,4.0,f,CÁLCULO III,20161
APROVADO POR NOTA,caaf84a8870d89e05ae840a3e912b82b,10320810.0,57577912,6.1,6.0,t,CÁLCULO III,20161
APROVADO POR NOTA,caaf84a8870d89e05ae840a3e912b82b,10320810.0,57577912,6.1,6.0,f,CÁLCULO III,20161
APROVADO POR NOTA,4341cbb3fae84601e35af27d922c8139,10320810.0,57577912,6.8,4.0,f,CÁLCULO III,20161
APROVADO POR NOTA,3ab662e374bab66e7305155726a2f4b1,10320810.0,57577912,5.1,2.0,f,CÁLCULO III,20161
REPROVADO,cb6118c90abd8dd9e416d9711d920c4f,10320810.0,57577912,3.6,8.0,t,CÁLCULO III,20161
REPROVADO,cb6118c90abd8dd9e416d9711d920c4f,10320810.0,57577912,3.6,8.0,f,CÁLCULO III,20161
APROVADO,09286181e6c14c9360293e4ce804053f,10320810.0,57577912,7.4,6.0,f,CÁLCULO III,20161
APROVADO POR NOTA,5d4ad3f34c7cd07d1fba14c0a786bf00,10320810.0,57577912,5.2,14.0,f,CÁLCULO III,20161
APROVADO POR NOTA,5d4ad3f34c7cd07d1fba14c0a786bf00,10320810.0,57577912,5.2,14.0,t,CÁLCULO III,20161
APROVADO POR NOTA,bd990ef60f578ce72bcc0680b71b7e35,10320810.0,57577912,6.9,6.0,f,CÁLCULO III,20161
APROVADO,cd06dc6b2596fb33e9ff81765dffa47a,10320810.0,57577912,9.1,4.0,f,CÁLCULO III,20161
APROVADO POR NOTA,3fe914952277d2e89f466ab88c3e46b9,10320810.0,57577912,5.0,0.0,t,CÁLCULO III,20161
APROVADO POR NOTA,3fe914952277d2e89f466ab88c3e46b9,10320810.0,57577912,5.0,0.0,f,CÁLCULO III,20161
CANCELADO,eab79dd758213950b6c32a97f876e108,10320810.0,57577912,0.0,38.0,f,CÁLCULO III,20161
APROVADO POR NOTA,37dcb36d1735c7e482fd4f069bc30552,10320810.0,57577912,5.4,8.0,t,CÁLCULO III,20161
APROVADO POR NOTA,37dcb36d1735c7e482fd4f069bc30552,10320810.0,57577912,5.4,8.0,f,CÁLCULO III,20161
APROVADO,6ee2ba86ff74b6c1701d48fa0634caf0,10320810.0,57577912,7.6,2.0,f,CÁLCULO III,20161
REPROVADO,f6583697a09b47b512e75ab6a83c2950,10320810.0,57577912,4.1,0.0,t,CÁLCULO III,20161
REPROVADO,f6583697a09b47b512e75ab6a83c2950,10320810.0,57577912,4.1,0.0,f,CÁLCULO III,20161
APROVADO POR NOTA,c2f9e47721895f39ab88a1414ccb9630,10320810.0,57577912,5.7,4.0,f,CÁLCULO III,20161
APROVADO POR NOTA,45a47afeab1718dc92e265fce31d29ff,10320810.0,57577912,5.1,10.0,f,CÁLCULO III,20161
APROVADO,bcc1eb3ee75fe66e8c3599f43d72d96d,10320810.0,57577912,7.4,6.0,f,CÁLCULO III,20161
APROVADO POR NOTA,2e401a889f18606c082d148664010506,10320810.0,57577912,6.6,6.0,f,CÁLCULO III,20161
